patient_id,stromal,neoplastic,inflammatory,benign epithelial,necrotic,no label
TCGA-HC-7081-01Z-00-DX1,89759,65772,13901,8719,3141,1866
TCGA-FC-A6HD-01Z-00-DX1,89288,206930,27054,15902,2232,1262
TCGA-FC-7708-01Z-00-DX1,193205,200533,34152,31783,2739,2783
TCGA-XA-A8JR-01Z-00-DX1,176901,71750,29377,8606,4831,1344
TCGA-Y6-A8TL-01Z-00-DX3,82032,70164,2400,618,306,3147
TCGA-G9-6369-01Z-00-DX1,192485,153340,30755,13818,4080,1989
TCGA-YL-A8SJ-01Z-00-DX4,295932,266577,27156,5736,3989,5865
TCGA-HC-A6AL-01Z-00-DX1,63518,67113,15797,8442,4496,1472
TCGA-WW-A8ZI-01Z-00-DX1,50892,61341,11907,835,1320,662
TCGA-EJ-5497-01Z-00-DX1,474187,456001,80693,25831,16576,5773
TCGA-KK-A8I6-01Z-00-DX1,246397,261182,26222,17685,2060,2412
TCGA-J4-AATV-01Z-00-DX1,232715,249089,37915,7807,8244,2612
TCGA-HC-7744-01Z-00-DX1,64860,277247,12213,20960,7133,2364
TCGA-XQ-A8TB-01Z-00-DX1,226090,138948,18966,3152,5317,1840
TCGA-J4-A67S-01Z-00-DX1,591823,439542,76570,54644,6508,8496
TCGA-HC-7817-01Z-00-DX1,43401,28538,3886,3065,1973,972
TCGA-HC-A76X-01Z-00-DX1,33526,106369,7020,3144,1233,1336
TCGA-CH-5745-01Z-00-DX1,110226,35173,15315,4352,2397,5526
TCGA-YL-A8SK-01Z-00-DX1,446895,184975,67970,31674,2500,5571
TCGA-KK-A6DY-01Z-00-DX1,443937,317599,75710,17783,8475,3911
TCGA-HC-8260-01Z-00-DX1,45168,29300,9222,6029,3277,581
TCGA-X4-A8KQ-01Z-00-DX4,135900,82034,17847,8723,800,1368
TCGA-G9-6343-01Z-00-DX1,169964,132351,21816,5667,7006,1373
TCGA-2A-A8VT-01Z-00-DX1,542263,774108,96237,72020,3530,16604
TCGA-KK-A7B0-01Z-00-DX1,188045,194355,48717,11636,3375,3655
TCGA-V1-A8WS-01Z-00-DX1,142103,99260,27209,15137,2605,2190
TCGA-KK-A8I4-01Z-00-DX1,553902,272177,89358,24282,2362,4510
TCGA-CH-5766-01Z-00-DX1,66170,126989,8392,2745,1440,4548
TCGA-YL-A8SB-01Z-00-DX1,218926,218747,74422,19665,3763,2229
TCGA-YL-A8HL-01Z-00-DX1,219764,124419,45417,2757,5895,986
TCGA-EJ-7784-01Z-00-DX1,302725,939879,44688,31333,10357,9052
TCGA-HC-A8CY-01Z-00-DX1,89185,167241,29771,21533,2466,2218
TCGA-YL-A8SI-01Z-00-DX3,388523,385216,66846,23033,3295,3911
TCGA-KK-A8I9-01Z-00-DX1,62169,55260,10972,5149,2076,948
TCGA-KK-A7AW-01Z-00-DX1,148368,137449,21286,9411,1261,1464
TCGA-HC-7078-01Z-00-DX1,7844,34382,1230,579,1475,777
TCGA-CH-5763-01Z-00-DX1,246559,119883,61679,12360,3129,5034
TCGA-V1-A8X3-01Z-00-DX1,448704,278413,47342,40189,5279,6052
TCGA-QU-A6IO-01Z-00-DX1,127004,87629,20696,15671,3254,1524
TCGA-X4-A8KS-01Z-00-DX1,183947,52895,29216,17363,4750,898
TCGA-EJ-7115-01Z-00-DX1,314081,84501,41574,6408,4806,4303
